iter	Passed	Remaining
0	193	192957
1	196	98286
2	201	66856
3	204	51029
4	208	41433
5	210	34930
6	212	30176
7	214	26615
8	216	23809
9	216	21482
10	217	19569
11	218	17970
12	218	16621
13	219	15463
14	220	14459
15	220	13581
16	221	12806
17	222	12130
18	223	11514
19	223	10958
20	224	10457
21	225	10015
22	225	9597
23	226	9217
24	227	8865
25	228	8542
26	228	8252
27	229	7970
28	230	7716
29	231	7475
30	232	7252
31	232	7040
32	233	6838
33	233	6647
34	234	6468
35	235	6300
36	235	6140
37	236	5988
38	237	5853
39	238	5717
40	238	5588
41	239	5464
42	240	5345
43	240	5233
44	241	5128
45	242	5024
46	242	4925
47	243	4833
48	244	4743
49	245	4655
50	245	4571
51	246	4492
52	247	4416
53	247	4341
54	248	4270
55	249	4202
56	249	4135
57	250	4071
58	251	4009
59	252	3948
60	253	3895
61	253	3840
62	254	3788
63	255	3736
64	257	3699
65	260	3687
66	261	3638
67	261	3589
68	262	3546
69	264	3508
70	264	3467
71	266	3431
72	267	3391
73	268	3356
74	269	3320
75	270	3289
76	271	3253
77	272	3218
78	274	3202
79	275	3173
80	277	3142
81	277	3111
82	279	3083
83	279	3052
84	280	3022
85	281	2994
86	282	2965
87	283	2938
88	284	2914
89	285	2890
90	287	2868
91	288	2849
92	289	2827
93	291	2811
94	292	2788
95	293	2767
96	294	2744
97	295	2722
98	296	2699
99	297	2676
100	298	2654
101	298	2630
102	299	2609
103	300	2587
104	301	2567
105	302	2549
106	303	2530
107	304	2513
108	305	2496
109	306	2478
110	307	2462
111	308	2443
112	309	2426
113	309	2408
114	310	2391
115	311	2373
116	312	2355
117	313	2340
118	313	2323
119	314	2307
120	315	2293
121	316	2279
122	317	2262
123	317	2246
124	318	2231
125	319	2216
126	320	2202
127	320	2186
128	321	2171
129	322	2158
130	323	2144
131	324	2133
132	325	2118
133	326	2106
134	326	2093
135	327	2081
136	328	2069
137	329	2058
138	330	2046
139	331	2034
140	332	2023
141	333	2014
142	334	2002
143	335	1993
144	336	1981
145	336	1969
146	337	1959
147	338	1948
148	339	1937
149	339	1926
150	341	1918
151	342	1909
152	343	1899
153	344	1890
154	344	1880
155	345	1870
156	346	1861
157	348	1855
158	349	1847
159	350	1840
160	351	1833
161	352	1823
162	353	1816
163	354	1807
164	355	1799
165	356	1791
166	357	1783
167	358	1775
168	359	1768
169	360	1761
170	362	1755
171	363	1748
172	364	1742
173	365	1734
174	366	1726
175	367	1719
176	368	1712
177	369	1706
178	370	1699
179	371	1692
180	371	1683
181	372	1675
182	373	1669
183	374	1662
184	375	1654
185	376	1647
186	377	1640
187	378	1634
188	379	1628
189	380	1622
190	381	1615
191	382	1608
192	383	1602
193	384	1596
194	385	1590
195	386	1583
196	387	1577
197	388	1572
198	389	1566
199	390	1560
200	391	1555
201	392	1549
202	393	1544
203	394	1539
204	395	1534
205	396	1528
206	397	1523
207	398	1517
208	399	1512
209	400	1506
210	401	1501
211	402	1495
212	403	1489
213	404	1484
214	405	1479
215	406	1474
216	407	1469
217	408	1463
218	409	1459
219	410	1453
220	411	1448
221	411	1443
222	412	1437
223	413	1432
224	414	1426
225	415	1422
226	416	1417
227	417	1411
228	417	1406
229	418	1401
230	419	1396
231	420	1391
232	421	1387
233	422	1383
234	423	1379
235	424	1375
236	426	1373
237	427	1369
238	429	1366
239	429	1361
240	430	1357
241	431	1352
242	432	1348
243	433	1343
244	434	1340
245	435	1335
246	437	1332
247	438	1328
248	438	1323
249	439	1319
250	440	1315
251	442	1312
252	442	1307
253	444	1304
254	445	1300
255	446	1296
256	447	1292
257	448	1288
258	448	1284
259	449	1280
260	450	1275
261	451	1271
262	452	1267
263	453	1263
264	454	1259
265	455	1255
266	456	1251
267	456	1247
268	457	1243
269	458	1239
270	459	1235
271	460	1231
272	460	1227
273	461	1223
274	462	1219
275	463	1215
276	464	1212
277	465	1208
278	466	1204
279	466	1200
280	467	1196
281	468	1193
282	469	1190
283	470	1186
284	471	1183
285	472	1179
286	473	1176
287	474	1173
288	475	1170
289	476	1166
290	477	1163
291	478	1159
292	479	1157
293	480	1153
294	481	1150
295	482	1146
296	482	1143
297	483	1139
298	484	1136
299	485	1132
300	486	1129
301	487	1125
302	487	1122
303	488	1119
304	489	1115
305	490	1112
306	491	1109
307	492	1106
308	493	1103
309	494	1100
310	495	1096
311	496	1094
312	497	1090
313	497	1087
314	498	1084
315	499	1081
316	500	1078
317	501	1074
318	502	1071
319	502	1068
320	503	1065
321	504	1062
322	505	1059
323	506	1056
324	507	1053
325	508	1050
326	509	1047
327	510	1045
328	511	1042
329	511	1039
330	512	1036
331	513	1033
332	514	1029
333	514	1026
334	515	1023
335	516	1020
336	517	1017
337	517	1013
338	518	1010
339	519	1007
340	519	1004
341	520	1001
342	521	999
343	522	996
344	523	993
345	523	989
346	524	986
347	525	983
348	525	980
349	526	977
350	527	974
351	527	971
352	528	968
353	529	965
354	530	963
355	530	960
356	531	957
357	532	954
358	532	951
359	533	948
360	534	945
361	534	942
362	535	939
363	536	936
364	536	933
365	537	931
366	538	928
367	538	925
368	539	922
369	540	919
370	541	917
371	541	914
372	542	912
373	543	909
374	543	906
375	544	903
376	545	901
377	546	898
378	546	895
379	547	893
380	548	890
381	548	887
382	549	885
383	550	882
384	551	880
385	551	877
386	552	875
387	553	872
388	554	870
389	554	867
390	555	865
391	556	862
392	556	859
393	557	857
394	558	854
395	558	852
396	559	849
397	560	847
398	560	844
399	561	842
400	562	839
401	562	837
402	563	834
403	564	832
404	564	829
405	565	827
406	566	825
407	566	822
408	567	820
409	568	817
410	569	815
411	569	812
412	570	811
413	571	808
414	572	806
415	572	804
416	573	802
417	574	799
418	574	797
419	575	794
420	576	792
421	577	790
422	577	788
423	578	786
424	579	783
425	579	781
426	580	779
427	581	776
428	582	774
429	582	772
430	583	770
431	584	768
432	584	766
433	585	763
434	586	761
435	587	759
436	588	757
437	588	755
438	589	753
439	590	751
440	591	750
441	593	749
442	594	747
443	594	744
444	595	742
445	596	740
446	597	738
447	598	736
448	598	734
449	599	733
450	600	731
451	601	729
452	602	726
453	602	724
454	603	722
455	604	720
456	604	718
457	605	716
458	606	714
459	607	712
460	607	710
461	608	708
462	609	706
463	610	705
464	611	703
465	612	701
466	613	699
467	614	698
468	614	696
469	615	694
470	616	692
471	617	690
472	618	688
473	618	686
474	619	684
475	620	682
476	621	681
477	621	679
478	622	677
479	623	675
480	624	673
481	625	672
482	626	670
483	626	668
484	627	666
485	628	664
486	628	662
487	629	660
488	630	658
489	630	656
490	631	654
491	632	653
492	633	651
493	634	649
494	634	647
495	635	645
496	636	643
497	636	642
498	637	640
499	638	638
500	638	636
501	639	634
502	640	632
503	640	630
504	641	628
505	642	626
506	642	625
507	643	623
508	644	621
509	645	619
510	645	617
511	646	616
512	647	614
513	647	612
514	648	611
515	649	609
516	650	607
517	650	605
518	651	603
519	652	602
520	653	600
521	653	598
522	654	597
523	655	595
524	656	593
525	656	591
526	657	590
527	658	588
528	658	586
529	659	585
530	660	583
531	661	581
532	661	579
533	662	578
534	663	576
535	663	574
536	664	573
537	665	571
538	666	569
539	666	567
540	667	566
541	668	564
542	668	563
543	669	561
544	670	559
545	671	558
546	671	556
547	672	554
548	673	553
549	673	551
550	674	549
551	675	548
552	675	546
553	676	544
554	677	542
555	677	541
556	678	539
557	679	537
558	679	536
559	680	534
560	681	533
561	682	531
562	682	529
563	683	528
564	684	526
565	684	525
566	685	523
567	686	521
568	687	520
569	688	519
570	689	517
571	689	516
572	690	514
573	691	513
574	692	511
575	692	510
576	693	508
577	694	507
578	695	505
579	696	504
580	696	502
581	697	501
582	698	499
583	699	497
584	700	496
585	701	495
586	701	493
587	702	492
588	703	490
589	704	489
590	704	487
591	705	486
592	706	484
593	707	483
594	707	481
595	708	480
596	709	478
597	710	477
598	710	475
599	711	474
600	712	472
601	713	471
602	714	470
603	714	468
604	715	467
605	716	465
606	716	464
607	717	462
608	718	461
609	718	459
610	719	458
611	720	456
612	721	455
613	721	453
614	722	452
615	723	450
616	723	449
617	724	447
618	725	446
619	725	444
620	726	443
621	727	442
622	728	440
623	728	439
624	729	437
625	730	436
626	730	434
627	731	433
628	732	431
629	732	430
630	733	429
631	734	427
632	734	426
633	735	424
634	736	423
635	737	421
636	737	420
637	738	419
638	739	417
639	740	416
640	740	414
641	741	413
642	742	412
643	743	411
644	744	409
645	745	408
646	746	407
647	747	405
648	747	404
649	748	403
650	749	401
651	750	400
652	750	398
653	751	397
654	752	396
655	753	395
656	754	393
657	755	392
658	756	391
659	756	389
660	758	388
661	759	387
662	760	386
663	761	385
664	762	383
665	763	382
666	763	381
667	765	380
668	765	378
669	766	377
670	767	376
671	768	375
672	769	374
673	770	372
674	771	371
675	772	370
676	773	369
677	774	367
678	775	366
679	776	365
680	777	364
681	778	362
682	778	361
683	779	360
684	780	358
685	781	357
686	782	356
687	783	355
688	783	353
689	784	352
690	785	351
691	786	350
692	787	348
693	788	347
694	789	346
695	790	345
696	790	343
697	792	342
698	792	341
699	793	340
700	794	338
701	795	337
702	796	336
703	797	335
704	798	334
705	798	332
706	799	331
707	800	330
708	801	328
709	802	327
710	802	326
711	804	325
712	804	323
713	805	322
714	806	321
715	807	320
716	807	318
717	808	317
718	809	316
719	810	315
720	811	313
721	811	312
722	812	311
723	813	310
724	814	308
725	815	307
726	816	306
727	817	305
728	818	304
729	818	302
730	819	301
731	820	300
732	821	299
733	821	297
734	822	296
735	823	295
736	824	294
737	824	292
738	825	291
739	826	290
740	826	288
741	827	287
742	828	286
743	828	285
744	829	283
745	830	282
746	831	281
747	831	280
748	832	279
749	833	277
750	834	276
751	834	275
752	835	274
753	836	272
754	837	271
755	837	270
756	838	269
757	839	267
758	839	266
759	840	265
760	841	264
761	842	263
762	843	261
763	843	260
764	845	259
765	845	258
766	846	257
767	847	255
768	847	254
769	849	253
770	849	252
771	850	251
772	851	250
773	852	248
774	852	247
775	853	246
776	854	245
777	854	243
778	855	242
779	856	241
780	857	240
781	857	239
782	858	237
783	859	236
784	860	235
785	860	234
786	861	233
787	862	231
788	863	230
789	864	229
790	865	228
791	865	227
792	866	226
793	867	224
794	868	223
795	868	222
796	869	221
797	870	220
798	870	219
799	871	217
800	872	216
801	873	215
802	873	214
803	874	213
804	875	211
805	875	210
806	876	209
807	877	208
808	877	207
809	878	206
810	879	204
811	880	203
812	880	202
813	881	201
814	882	200
815	882	199
816	883	197
817	884	196
818	884	195
819	885	194
820	886	193
821	887	192
822	888	191
823	888	189
824	889	188
825	890	187
826	891	186
827	891	185
828	892	184
829	893	183
830	894	181
831	895	180
832	895	179
833	896	178
834	897	177
835	897	176
836	898	175
837	899	173
838	900	172
839	900	171
840	901	170
841	902	169
842	903	168
843	903	167
844	904	165
845	905	164
846	905	163
847	906	162
848	907	161
849	908	160
850	908	159
851	909	158
852	910	156
853	911	155
854	911	154
855	912	153
856	913	152
857	914	151
858	914	150
859	915	149
860	916	147
861	916	146
862	917	145
863	918	144
864	919	143
865	919	142
866	920	141
867	921	140
868	921	138
869	922	137
870	923	136
871	924	135
872	925	134
873	925	133
874	926	132
875	927	131
876	928	130
877	929	129
878	929	127
879	930	126
880	930	125
881	931	124
882	932	123
883	933	122
884	933	121
885	934	120
886	935	119
887	935	118
888	936	116
889	937	115
890	938	114
891	938	113
892	939	112
893	940	111
894	941	110
895	942	109
896	943	108
897	943	107
898	944	106
899	945	105
900	946	103
901	946	102
902	947	101
903	948	100
904	948	99
905	949	98
906	950	97
907	951	96
908	951	95
909	952	94
910	953	93
911	953	92
912	954	90
913	955	89
914	956	88
915	956	87
916	957	86
917	958	85
918	959	84
919	959	83
920	960	82
921	961	81
922	961	80
923	962	79
924	963	78
925	964	77
926	964	75
927	965	74
928	966	73
929	966	72
930	967	71
931	968	70
932	968	69
933	969	68
934	970	67
935	971	66
936	972	65
937	972	64
938	973	63
939	973	62
940	974	61
941	975	60
942	975	58
943	976	57
944	977	56
945	977	55
946	978	54
947	979	53
948	980	52
949	980	51
950	981	50
951	982	49
952	982	48
953	983	47
954	984	46
